Store,DayOfWeek
1,6
2,7
3,1
4,2
5,3
6,4
7,5
8,6
9,7
10,1
11,2
12,3
13,4
14,5
15,6
16,7
17,1
18,2
19,3
20,4
21,5
22,6
23,7
24,1
25,2
26,3
27,4
28,5
29,6
30,7
31,1
32,2
33,3
34,4
35,5
36,6
37,7
38,1
39,2
40,3
41,4
42,5
43,6
44,7
45,1
46,2
47,3
48,4
49,5
50,6
51,7
52,1
53,2
54,3
55,4
56,5
57,6
58,7
59,1
60,2
61,3
62,4
63,5
64,6
65,7
66,1
67,2
68,3
69,4
70,5
71,6
72,7
73,1
74,2
75,3
76,4
77,5
78,6
79,7
80,1
81,2
82,3
83,4
84,5
85,6
86,7
87,1
88,2
89,3
90,4
91,5
92,6
93,7
94,1
95,2
96,3
97,4
98,5
99,6
100,7
101,1
102,2
103,3
104,4
105,5
106,6
107,7
108,1
109,2
110,3
111,4
112,5
113,6
114,7
115,1
116,2
117,3
118,4
119,5
120,6
121,7
122,1
123,2
124,3
125,4
126,5
127,6
128,7
129,1
130,2
131,3
132,4
133,5
134,6
135,7
136,1
137,2
138,3
139,4
140,5
141,6
142,7
143,1
144,2
145,3
146,4
147,5
148,6
149,7
150,1
151,2
152,3
153,4
154,5
155,6
156,7
157,1
158,2
159,3
160,4
161,5
162,6
163,7
164,1
165,2
166,3
167,4
168,5
169,6
170,7
171,1
172,2
173,3
174,4
175,5
176,6
177,7
178,1
179,2
180,3
181,4
182,5
183,6
184,7
185,1
186,2
187,3
188,4
189,5
190,6
191,7
192,1
193,2
194,3
195,4
196,5
197,6
198,7
199,1
200,2
201,3
202,4
203,5
204,6
205,7
206,1
207,2
208,3
209,4
210,5
211,6
212,7
213,1
214,2
215,3
216,4
217,5
218,6
219,7
220,1
221,2
222,3
223,4
224,5
225,6
226,7
227,1
228,2
229,3
230,4
231,5
232,6
233,7
234,1
235,2
236,3
237,4
238,5
239,6
240,7
241,1
242,2
243,3
244,4
245,5
246,6
247,7
248,1
249,2
250,3
251,4
252,5
253,6
254,7
255,1
256,2
257,3
258,4
259,5
260,6
261,7
262,1
263,2
264,3
265,4
266,5
267,6
268,7
269,1
270,2
271,3
272,4
273,5
274,6
275,7
276,1
277,2
278,3
279,4
280,5
281,6
282,7
283,1
284,2
285,3
286,4
287,5
288,6
289,7
290,1
291,2
292,3
293,4
294,5
295,6
296,7
297,1
298,2
299,3
300,4
301,5
302,6
303,7
304,1
305,2
306,3
307,4
308,5
309,6
310,7
311,1
312,2
313,3
314,4
315,5
316,6
317,7
318,1
319,2
320,3
321,4
322,5
323,6
324,7
325,1
326,2
327,3
328,4
329,5
330,6
331,7
332,1
333,2
334,3
335,4
336,5
337,6
338,7
339,1
340,2
341,3
342,4
343,5
344,6
345,7
346,1
347,2
348,3
349,4
350,5
351,6
352,7
353,1
354,2
355,3
356,4
357,5
358,6
359,7
360,1
361,2
362,3
363,4
364,5
365,6
366,7
367,1
368,2
369,3
370,4
371,5
372,6
373,7
374,1
375,2
376,3
377,4
378,5
379,6
380,7
381,1
382,2
383,3
384,4
385,5
386,6
387,7
388,1
389,2
390,3
391,4
392,5
393,6
394,7
395,1
396,2
397,3
398,4
399,5
400,6
401,7
402,1
403,2
404,3
405,4
406,5
407,6
408,7
409,1
410,2
411,3
412,4
413,5
414,6
415,7
416,1
417,2
418,3
419,4
420,5
421,6
422,7
423,1
424,2
425,3
426,4
427,5
428,6
429,7
430,1
431,2
432,3
433,4
434,5
435,6
436,7
437,1
438,2
439,3
440,4
441,5
442,6
443,7
444,1
445,2
446,3
447,4
448,5
449,6
450,7
451,1
452,2
453,3
454,4
455,5
456,6
457,7
458,1
459,2
460,3
461,4
462,5
463,6
464,7
465,1
466,2
467,3
468,4
469,5
470,6
471,7
472,1
473,2
474,3
